Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
156.	2495	FRDELRIO JEAN-BAPTISTE	NICE COTE D'AZUR ATHLETISME *	Homme	SEH	105	0:16:37	0:32:59	0:41:54	0:50:44	1:11:33
157.	695	DONNARD FABRICE	S/L YERRES AC	Homme	M2H	1	0:17:12	0:33:54	0:42:35		1:11:33
158.	1597	FRBEAUFORT SÉBASTIEN	SPORTING CLUB ATHLETIC DE BRY-SUR-MARNE	Homme	M3H	2	0:17:13	0:33:52	0:42:35	0:50:57	1:11:33
159.	8161	FRDA CAMARA MATHIAS	VINEUIL SPORTS	Homme	SEH	106	0:17:12	0:33:54		0:50:57	1:11:33
160.	4851	FRPOLARD CHRISTOPHE		Homme	SEH	107	0:17:11	0:33:50	0:42:33	0:50:56	1:11:33
161.	666	FRLE POTTIER RONAN	AS TOURLAVILLE	Homme	SEH	108	0:16:28	0:32:47	0:41:36	0:50:04	1:11:34
162.	6793	FRMARTIN ANATOLE	ENTENTE DES MAUGES	Homme	SEH	109	0:17:08	0:33:43	0:42:28	0:50:51	1:11:35
163.	7625	FRFLEUREAU ALEXANDRE		Homme	SEH	110	0:17:07	0:33:50	0:42:33	0:50:55	1:11:36
164.	7937	FRCARRASCOSA TOM	S/L AC ST GRATIEN-SANNOIS	Homme	SEH	111	0:17:10	0:33:52	0:42:34	0:50:56	1:11:38
165.	7735	FRMOLINIER PAUL	S/L AVIA CLUB ATHLETISME	Homme	SEH	112	0:16:11	0:31:57	0:40:29	0:49:17	1:11:40
166.	1359	FRFROISSART TOM	THONON AC	Homme	SEH	113	0:17:29	0:34:04	0:42:49	0:51:09	1:11:40
167.	5395	FRKERAUDREN THOMAS	LANNION ATHLETISME	Homme	SEH	114	0:17:02	0:33:36	0:42:22	0:50:49	1:11:44
168.	4922	FRLAPORTE BAPTISTE		Homme	SEH	115	0:17:12	0:33:54	0:42:36	0:50:57	1:11:47
169.	7001	FRHOURMAN DAMIEN		Homme	SEH	116	0:16:51	0:33:26	0:42:17	0:50:42	1:11:50
170.	3736	FRTOUSSAINT TOM		Homme	SEH	117	0:17:09	0:33:52	0:42:34	0:50:56	1:11:50
171.	8267	FRCARRIER CHRISTOPHE	ATHLETISME METZ METROPOLE*	Homme	SEH	118	0:17:08	0:33:50	0:42:31	0:50:48	1:11:52
172.	1141	FRPALUMBO KEVIN	RUN UP NANTERRE	Homme	M0H	33	0:17:07	0:33:51	0:42:31	0:50:56	1:11:54
173.	5726	FRCARBONNE EDOUARD	S/L AVIA CLUB ATHLETISME	Homme	SEH	119	0:17:05	0:33:46	0:42:37	0:51:00	1:11:56
174.	1737	FRTURMO VINCENT	ASA MAISONS-ALFORT	Homme	SEH	120	0:16:59	0:33:35	0:42:29	0:50:57	1:11:58
175.	3376	FRPENÉ GWENDAL		Homme	SEH	121	0:17:26	0:34:07	0:42:54	0:51:17	1:11:59
176.	3086	FRBERTRAND CORENTIN	JOUE RUNNING 37	Homme	SEH	122	0:17:11	0:33:57	0:42:49	0:51:14	1:12:00
177.	8077	FRCORNU QUENTIN		Homme	SEH	123	0:16:24	0:33:06	0:42:11	0:50:53	1:12:03
178.	6570	FRCHARYK JULIEN	REVEIL SPORTIF DE ST CYR/LOIRE	Homme	M0H	34	0:17:05	0:33:47	0:42:39	0:51:13	1:12:03
179.	8076	FRCOTHIAS FAURE GASPARD		Homme	SEH	124	0:16:12	0:32:33	0:41:17	0:49:23	1:12:04
180.	2456	FRBAUDOUIN ALEXIS	UA SOCIETE GENERALE	Homme	SEH	125	0:17:30	0:34:22		0:51:36	1:12:04
